"P1_E2";"200414_NB501473_A_L1-4_AIMI-219";"SPY190411_02";"NouvelleCaledonie";"teleo";"LotA"
"P1_E3";"200414_NB501473_A_L1-4_AIMI-219";"SPY190411_03";"NouvelleCaledonie";"teleo";"LotA"
"P1_E4";"200414_NB501473_A_L1-4_AIMI-219";"SPY190411_04";"NouvelleCaledonie";"teleo";"LotA"
"P1_E5";"200414_NB501473_A_L1-4_AIMI-219";"SPY190411_05";"NouvelleCaledonie";"teleo";"LotA"
"P1_E6";"200414_NB501473_A_L1-4_AIMI-219";"SPY190411_06";"NouvelleCaledonie";"teleo";"LotA"
"P1_E7";"200414_NB501473_A_L1-4_AIMI-219";"SPY190411_07";"NouvelleCaledonie";"teleo";"LotA"
"P1_E8";"200414_NB501473_A_L1-4_AIMI-219";"SPY190411_08";"NouvelleCaledonie";"teleo";"LotA"
"P1_E9";"200414_NB501473_A_L1-4_AIMI-219";"SPY190411_09";"NouvelleCaledonie";"teleo";"LotA"
"P1_E10";"200414_NB501473_A_L1-4_AIMI-219";"SPY190411_10";"NouvelleCaledonie";"teleo";"LotA"
"P1_E11";"200414_NB501473_A_L1-4_AIMI-219";"SPY190411_11";"NouvelleCaledonie";"teleo";"LotA"
"P1_E12";"200414_NB501473_A_L1-4_AIMI-219";"SPY190411_12";"NouvelleCaledonie";"teleo";"LotA"
"P1_F1";"200414_NB501473_A_L1-4_AIMI-219";"SPY190453_01";"NouvelleCaledonie";"teleo";"LotA"
"P1_F2";"200414_NB501473_A_L1-4_AIMI-219";"SPY190453_02";"NouvelleCaledonie";"teleo";"LotA"
"P1_F3";"200414_NB501473_A_L1-4_AIMI-219";"SPY190453_03";"NouvelleCaledonie";"teleo";"LotA"
"P1_F4";"200414_NB501473_A_L1-4_AIMI-219";"SPY190453_04";"NouvelleCaledonie";"teleo";"LotA"
"P1_F5";"200414_NB501473_A_L1-4_AIMI-219";"SPY190453_05";"NouvelleCaledonie";"teleo";"LotA"
"P1_F6";"200414_NB501473_A_L1-4_AIMI-219";"SPY190453_06";"NouvelleCaledonie";"teleo";"LotA"
"P1_F7";"200414_NB501473_A_L1-4_AIMI-219";"SPY190453_07";"NouvelleCaledonie";"teleo";"LotA"
"P1_F8";"200414_NB501473_A_L1-4_AIMI-219";"SPY190453_08";"NouvelleCaledonie";"teleo";"LotA"
"P1_F9";"200414_NB501473_A_L1-4_AIMI-219";"SPY190453_09";"NouvelleCaledonie";"teleo";"LotA"
"P1_F10";"200414_NB501473_A_L1-4_AIMI-219";"SPY190453_10";"NouvelleCaledonie";"teleo";"LotA"
"P1_F11";"200414_NB501473_A_L1-4_AIMI-219";"SPY190453_11";"NouvelleCaledonie";"teleo";"LotA"
"P1_F12";"200414_NB501473_A_L1-4_AIMI-219";"SPY190453_12";"NouvelleCaledonie";"teleo";"LotA"
"P1_G1";"200414_NB501473_A_L1-4_AIMI-219";"SPY190458_01";"NouvelleCaledonie";"teleo";"LotA"
"P1_G2";"200414_NB501473_A_L1-4_AIMI-219";"SPY190458_02";"NouvelleCaledonie";"teleo";"LotA"
"P1_G3";"200414_NB501473_A_L1-4_AIMI-219";"SPY190458_03";"NouvelleCaledonie";"teleo";"LotA"
"P1_G4";"200414_NB501473_A_L1-4_AIMI-219";"SPY190458_04";"NouvelleCaledonie";"teleo";"LotA"
"P1_G5";"200414_NB501473_A_L1-4_AIMI-219";"SPY190458_05";"NouvelleCaledonie";"teleo";"LotA"
"P1_G6";"200414_NB501473_A_L1-4_AIMI-219";"SPY190458_06";"NouvelleCaledonie";"teleo";"LotA"
"P1_G7";"200414_NB501473_A_L1-4_AIMI-219";"SPY190458_07";"NouvelleCaledonie";"teleo";"LotA"
"P1_G8";"200414_NB501473_A_L1-4_AIMI-219";"SPY190458_08";"NouvelleCaledonie";"teleo";"LotA"
"P1_G9";"200414_NB501473_A_L1-4_AIMI-219";"SPY190458_09";"NouvelleCaledonie";"teleo";"LotA"
"P1_G10";"200414_NB501473_A_L1-4_AIMI-219";"SPY190458_10";"NouvelleCaledonie";"teleo";"LotA"
"P1_G11";"200414_NB501473_A_L1-4_AIMI-219";"SPY190458_11";"NouvelleCaledonie";"teleo";"LotA"
"P1_G12";"200414_NB501473_A_L1-4_AIMI-219";"SPY190458_12";"NouvelleCaledonie";"teleo";"LotA"
"P1_H1";"200414_NB501473_A_L1-4_AIMI-219";"SPY190461_01";"NouvelleCaledonie";"teleo";"LotA"
"P1_H2";"200414_NB501473_A_L1-4_AIMI-219";"SPY190461_02";"NouvelleCaledonie";"teleo";"LotA"
"P1_H3";"200414_NB501473_A_L1-4_AIMI-219";"SPY190461_03";"NouvelleCaledonie";"teleo";"LotA"
"P1_H4";"200414_NB501473_A_L1-4_AIMI-219";"SPY190461_04";"NouvelleCaledonie";"teleo";"LotA"
"P1_H5";"200414_NB501473_A_L1-4_AIMI-219";"SPY190461_05";"NouvelleCaledonie";"teleo";"LotA"
"P1_H6";"200414_NB501473_A_L1-4_AIMI-219";"SPY190461_06";"NouvelleCaledonie";"teleo";"LotA"
"P1_H7";"200414_NB501473_A_L1-4_AIMI-219";"SPY190461_07";"NouvelleCaledonie";"teleo";"LotA"
"P1_H8";"200414_NB501473_A_L1-4_AIMI-219";"SPY190461_08";"NouvelleCaledonie";"teleo";"LotA"
"P1_H9";"200414_NB501473_A_L1-4_AIMI-219";"SPY190461_09";"NouvelleCaledonie";"teleo";"LotA"
"P1_H10";"200414_NB501473_A_L1-4_AIMI-219";"SPY190461_10";"NouvelleCaledonie";"teleo";"LotA"
"P1_H11";"200414_NB501473_A_L1-4_AIMI-219";"SPY190461_11";"NouvelleCaledonie";"teleo";"LotA"
"P1_H12";"200414_NB501473_A_L1-4_AIMI-219";"SPY190461_12";"NouvelleCaledonie";"teleo";"LotA"
"P2_A1";"200414_NB501473_A_L1-4_AIMI-219";"SPY190463_01";"NouvelleCaledonie";"teleo";"LotA"
"P2_A2";"200414_NB501473_A_L1-4_AIMI-219";"SPY190463_02";"NouvelleCaledonie";"teleo";"LotA"
